GJ~179			& 0.404			& 0.376			& 4.89 		&3300 
GJ~203			& 0.192			& 0.226			& 5.01 		&3425 
GJ~228 			& 0.524		 	& 0.468			& 4.82 		&3525 
GJ~334			& 0.638			& 0.622			& 4.66 		&4044 
GJ~433			& 0.527		 	& 0.472			& 4.81 		&3616 
GJ~514			& 0.562		 	& 0.505			& 4.78 		&3727 
GJ~825			& 0.627		 	& 0.593			& 4.69 		&3795 
GJ~832			& 0.491		 	& 0.442			& 4.84		&3707 
GJ~872B			& 0.449		 	& 0.409			& 4.87 		&3575 
GJ~880			& 0.601		 	& 0.550			& 4.74 		&3720 
GJ~908			& 0.460		 	& 0.417			& 4.86 		&3646 
GJ~3634			& 0.497			& 0.446			& 4.84 		&3536 
GJ~9356			& 0.638			& 0.698			& 4.56 		&4526 
GJ~9415			& 0.178		 	& 0.214			& 5.03 		&3350 
HIP~12961		& 0.640			& 0.630			& 4.65		&4131 
HIP~31878		& 0.643			& 0.652			& 4.62 		&4246 
